Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³)
2018-01-01 00:00:00,216.88,352.06,58.49,30.72,18.91,2.09,11.54,1.69
2018-01-02 00:00:00,165.31,264.57,47.0,26.91,23.07,1.76,13.45,1.39
2018-01-03 00:00:00,168.47,266.64,47.72,24.4,19.49,1.49,15.19,1.29
2018-01-04 00:00:00,186.84,316.08,64.39,23.87,40.61,1.46,11.05,1.21
2018-01-05 00:00:00,193.99,321.89,61.56,22.95,42.16,1.53,10.54,1.0
2018-01-06 00:00:00,135.79,226.69,41.69,16.39,18.02,1.33,17.59,0.95
2018-01-07 00:00:00,134.95,233.29,40.54,20.64,14.27,1.23,19.51,0.99
2018-01-08 00:00:00,121.65,213.61,44.05,22.18,9.12,1.0,18.41,0.94
2018-01-09 00:00:00,125.25,232.59,43.5,19.89,23.87,0.99,17.6,0.85
2018-01-10 00:00:00,127.1,228.97,40.81,18.28,11.58,1.28,20.08,0.84
2018-01-11 00:00:00,111.67,222.27,44.45,17.08,17.33,1.07,18.64,0.66
2018-01-12 00:00:00,130.18,245.05,45.74,18.71,20.28,1.33,18.2,0.81
2018-01-13 00:00:00,122.61,220.2,38.72,19.31,17.51,1.14,22.05,0.64
2018-01-14 00:00:00,132.0,247.89,44.0,18.33,10.57,1.25,19.38,0.74
2018-01-15 00:00:00,119.8,237.3,42.51,17.16,16.36,1.21,19.2,0.76
2018-01-16 00:00:00,127.3,251.27,48.87,17.47,26.96,1.38,16.52,0.96
2018-01-17 00:00:00,175.56,282.34,48.67,17.3,24.38,1.17,17.6,0.77
2018-01-18 00:00:00,235.24,256.53,45.08,17.06,11.9,1.19,16.99,0.76
2018-01-19 00:00:00,595.97,281.41,41.87,21.15,8.93,1.33,16.14,1.0
2018-01-20 00:00:00,117.59,304.42,41.08,20.65,10.98,1.24,18.45,0.76
2018-01-21 00:00:00,133.92,654.39,41.49,20.54,15.47,1.11,21.33,0.76
2018-01-22 00:00:00,174.28,326.54,60.82,21.1,43.56,1.53,15.44,1.0
2018-01-23 00:00:00,150.06,279.44,48.36,20.88,18.33,1.57,19.22,1.03
2018-01-24 00:00:00,105.09,208.69,40.73,21.38,16.93,0.96,25.21,0.51
2018-01-25 00:00:00,129.94,221.31,34.56,21.77,7.51,1.08,26.2,0.66
2018-01-26 00:00:00,121.4,225.39,39.19,19.38,10.69,1.09,22.05,0.69
2018-01-27 00:00:00,122.66,247.98,39.76,17.34,10.36,1.11,19.84,0.71
2018-01-28 00:00:00,118.62,247.15,42.18,15.82,12.02,1.25,18.39,0.8
2018-01-29 00:00:00,102.41,217.45,37.72,15.41,12.7,1.07,21.35,0.59
2018-01-30 00:00:00,93.28,252.3,32.51,15.34,13.73,0.91,25.84,0.55
2018-01-31 00:00:00,56.67,239.11,31.78,13.46,21.71,0.68,29.75,0.32
2018-02-01 00:00:00,91.3,244.28,37.59,15.05,23.51,1.01,19.36,0.55
2018-02-02 00:00:00,118.69,300.77,44.14,15.84,14.52,1.08,19.7,0.64
2018-02-03 00:00:00,106.59,279.96,48.67,16.02,29.46,0.95,20.55,0.66
2018-02-04 00:00:00,126.96,256.4,44.77,19.14,24.81,1.13,25.22,0.73
2018-02-05 00:00:00,138.12,287.11,60.05,18.05,25.87,1.2,19.97,0.67
2018-02-06 00:00:00,115.7,260.49,47.65,16.13,28.21,1.17,19.13,0.71
2018-02-07 00:00:00,75.27,180.95,38.94,14.26,15.62,0.78,20.76,0.46
2018-02-08 00:00:00,86.93,201.41,45.62,16.12,23.29,0.93,20.65,0.49
2018-02-09 00:00:00,99.7,217.91,49.84,17.24,32.6,0.91,16.96,0.51
2018-02-10 00:00:00,140.88,303.48,58.28,19.67,62.14,1.34,12.27,0.78
2018-02-11 00:00:00,105.49,265.23,44.66,21.32,28.89,0.84,20.91,0.61
2018-02-12 00:00:00,94.62,143.23,48.17,19.46,22.38,0.89,8.68,0.54
2018-02-13 00:00:00,74.3,93.58,31.82,18.12,17.22,0.99,7.93,0.49
2018-02-14 00:00:00,57.62,94.23,27.97,16.49,9.14,0.65,22.59,0.28
2018-02-15 00:00:00,75.0,151.58,38.63,15.73,11.43,0.88,22.71,0.47
2018-02-16 00:00:00,85.3,185.2,39.41,17.58,12.58,0.92,18.61,0.55
2018-02-17 00:00:00,80.73,221.56,40.18,16.54,12.15,0.86,20.88,0.4
2018-02-18 00:00:00,105.12,284.51,39.42,16.82,9.46,1.04,19.73,0.58
2018-02-19 00:00:00,76.8,215.83,34.42,17.07,18.08,0.63,23.5,0.32
2018-02-20 00:00:00,85.04,209.94,40.11,16.39,18.44,0.85,24.75,0.35
2018-02-21 00:00:00,93.05,239.34,44.74,21.04,9.42,0.95,22.23,0.49
2018-02-22 00:00:00,80.68,231.07,44.96,19.47,12.86,0.86,19.42,0.43
2018-02-23 00:00:00,84.86,222.46,39.03,18.33,8.88,0.76,21.46,0.43
2018-02-24 00:00:00,85.68,228.31,38.06,18.94,13.4,0.88,26.6,0.52
2018-02-25 00:00:00,100.77,266.5,39.63,19.5,11.34,1.05,25.61,0.61
